Year of Launch,Model,Price (USD),Country,Camera Configuration,Discount Offer
2023,Model-1,745,Germany,12MP + 8MP,20%
2015,Model-2,1416,France,108MP + 16MP + 12MP,15%
2022,Model-3,748,Canada,12MP + 8MP,10%
2021,Model-4,225,France,48MP + 12MP + 8MP,No Discount
2022,Model-5,1266,India,50MP + 10MP + 10MP,20%
2021,Model-6,252,Japan,50MP + 10MP + 10MP,15%
2022,Model-7,394,UK,12MP + 8MP,20%
2016,Model-8,1301,UK,108MP + 16MP + 12MP,10%
2021,Model-9,1091,France,108MP + 16MP + 12MP,15%
2023,Model-10,851,Australia,64MP + 12MP,5%
2023,Model-11,343,Japan,64MP + 12MP,15%
2023,Model-12,1365,France,64MP + 12MP,5%
2015,Model-13,397,USA,108MP + 16MP + 12MP,No Discount
2018,Model-14,1142,Australia,12MP + 8MP,20%
2019,Model-15,1377,India,12MP + 8MP,5%
2020,Model-16,1456,Australia,48MP + 12MP + 8MP,5%
2021,Model-17,448,Brazil,64MP + 12MP,15%
2016,Model-18,854,Japan,64MP + 12MP,20%
2021,Model-19,565,Japan,12MP + 8MP,10%
2020,Model-20,677,Germany,64MP + 12MP,5%
2017,Model-21,839,Australia,64MP + 12MP,15%
2017,Model-22,259,Japan,108MP + 16MP + 12MP,20%
2021,Model-23,1066,France,50MP + 10MP + 10MP,5%
2018,Model-24,1483,India,50MP + 10MP + 10MP,10%
2020,Model-25,634,Germany,48MP + 12MP + 8MP,15%
2017,Model-26,467,UK,50MP + 10MP + 10MP,No Discount
2017,Model-27,612,China,48MP + 12MP + 8MP,5%
2017,Model-28,1207,Brazil,12MP + 8MP,10%
2015,Model-29,606,Germany,108MP + 16MP + 12MP,20%
2024,Model-30,623,Australia,64MP + 12MP,15%
2023,Model-31,732,Canada,50MP + 10MP + 10MP,20%
2017,Model-32,1244,India,50MP + 10MP + 10MP,20%
2018,Model-33,1392,Germany,64MP + 12MP,5%
2017,Model-34,908,UK,64MP + 12MP,10%
2016,Model-35,710,Brazil,48MP + 12MP + 8MP,10%
2024,Model-36,573,France,64MP + 12MP,10%
2021,Model-37,1308,Australia,108MP + 16MP + 12MP,20%
2022,Model-38,1155,Australia,50MP + 10MP + 10MP,5%
2021,Model-39,1307,Brazil,64MP + 12MP,5%
2024,Model-40,1482,Australia,12MP + 8MP,5%
2022,Model-41,466,Japan,12MP + 8MP,15%
2018,Model-42,1242,Japan,108MP + 16MP + 12MP,10%
2016,Model-43,1331,France,108MP + 16MP + 12MP,10%
2020,Model-44,1182,China,12MP + 8MP,15%
2021,Model-45,395,USA,64MP + 12MP,15%
2023,Model-46,1454,India,108MP + 16MP + 12MP,10%
2018,Model-47,1287,Brazil,12MP + 8MP,20%
2020,Model-48,710,Australia,48MP + 12MP + 8MP,No Discount
2019,Model-49,715,Japan,108MP + 16MP + 12MP,10%
2024,Model-50,577,Canada,64MP + 12MP,15%
2023,Model-51,1166,Japan,48MP + 12MP + 8MP,20%
2018,Model-52,385,Canada,12MP + 8MP,No Discount
2021,Model-53,701,USA,64MP + 12MP,No Discount
2019,Model-54,1186,India,50MP + 10MP + 10MP,20%
2016,Model-55,1470,Japan,108MP + 16MP + 12MP,No Discount
2015,Model-56,843,UK,108MP + 16MP + 12MP,No Discount
2023,Model-57,720,USA,64MP + 12MP,15%
2022,Model-58,1095,Canada,108MP + 16MP + 12MP,10%
2022,Model-59,1132,India,48MP + 12MP + 8MP,20%
2016,Model-60,1005,USA,108MP + 16MP + 12MP,20%
2015,Model-61,1017,Germany,64MP + 12MP,10%
2017,Model-62,1484,Brazil,12MP + 8MP,20%
2024,Model-63,1169,Brazil,108MP + 16MP + 12MP,15%
2019,Model-64,667,Brazil,48MP + 12MP + 8MP,No Discount
2017,Model-65,325,Canada,48MP + 12MP + 8MP,15%
2023,Model-66,1090,China,12MP + 8MP,20%
2019,Model-67,1254,UK,50MP + 10MP + 10MP,15%
2016,Model-68,682,Australia,12MP + 8MP,No Discount
2015,Model-69,621,China,64MP + 12MP,15%
2018,Model-70,404,USA,64MP + 12MP,10%
2023,Model-71,892,UK,108MP + 16MP + 12MP,20%
2021,Model-72,686,India,12MP + 8MP,10%
2023,Model-73,1497,Brazil,48MP + 12MP + 8MP,No Discount
2015,Model-74,1195,Germany,48MP + 12MP + 8MP,5%
2015,Model-75,1416,Canada,48MP + 12MP + 8MP,10%
2024,Model-76,1388,UK,64MP + 12MP,20%
2022,Model-77,802,China,12MP + 8MP,10%
2021,Model-78,669,France,12MP + 8MP,10%
2022,Model-79,713,France,48MP + 12MP + 8MP,5%
2016,Model-80,1389,Japan,64MP + 12MP,10%
2024,Model-81,316,UK,108MP + 16MP + 12MP,No Discount
2016,Model-82,610,Germany,64MP + 12MP,10%
2020,Model-83,640,China,48MP + 12MP + 8MP,15%
2020,Model-84,1019,India,48MP + 12MP + 8MP,10%
2022,Model-85,1453,France,64MP + 12MP,10%
2019,Model-86,1140,USA,12MP + 8MP,20%
2024,Model-87,1095,Japan,12MP + 8MP,20%
2019,Model-88,1222,Brazil,64MP + 12MP,5%
2015,Model-89,1122,Canada,108MP + 16MP + 12MP,5%
2019,Model-90,271,India,50MP + 10MP + 10MP,10%
2022,Model-91,204,UK,12MP + 8MP,5%
2022,Model-92,325,Australia,12MP + 8MP,20%
2015,Model-93,670,USA,108MP + 16MP + 12MP,10%
2015,Model-94,765,France,12MP + 8MP,No Discount
2017,Model-95,965,India,64MP + 12MP,15%
2017,Model-96,1145,USA,50MP + 10MP + 10MP,No Discount
2023,Model-97,1497,China,108MP + 16MP + 12MP,5%
2023,Model-98,511,China,12MP + 8MP,15%
2022,Model-99,1463,Germany,48MP + 12MP + 8MP,10%
2022,Model-100,321,India,48MP + 12MP + 8MP,15%
